mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.505272102355957,0.22170728125869935,0.016806411743164062,0.002042906895296192,10,sqrt,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
5.870238399505615,0.2695742156709831,0.022065210342407226,0.0042337527859038935,10,sqrt,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
3.488626003265381,0.244306154682251,0.014978265762329102,0.0003780730118714767,10,sqrt,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
5.986175441741944,0.29799152987860883,0.017609024047851564,0.0004885542979703259,10,sqrt,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
0.9218804836273193,0.21153540059545034,0.018831396102905275,0.0022303045103026792,10,log2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9866160417655434,0.9932869815391993,0.9946793446380392,0.004999600557113959,13
1.6712755680084228,0.05757954214251169,0.02450718879699707,0.0038737558995414092,10,log2,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9866160417655434,0.9932869815391993,0.9946793446380392,0.004999600557113959,13
1.073063039779663,0.030965976634797006,0.02135329246520996,0.0005840872031899453,10,log2,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9866160417655434,1.0,0.9960219483301993,0.005335500047122372,9
1.5864325523376466,0.17615209956715228,0.0240048885345459,0.003866691048907369,10,log2,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9868274582560297,0.9866160417655434,1.0,0.9946887000043146,0.0065053309800114124,11
3.4091033935546875,0.33734481186521337,0.016254520416259764,0.002400293183101548,20,sqrt,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
5.305713701248169,0.2042392966071742,0.020023155212402343,0.003426439606331244,20,sqrt,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
3.225380611419678,0.36288035126582796,0.01660757064819336,0.002400811569563028,20,sqrt,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
5.184408664703369,0.2362719182171266,0.017654800415039064,0.0002907946987693225,20,sqrt,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9932869815391993,1.0,0.9973561362849303,0.0032387183056358402,1
0.8230732917785645,0.1385777210203522,0.015320920944213867,0.0017148640152324843,20,log2,2,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9866160417655434,0.9932869815391993,0.9946793446380392,0.004999600557113959,13
1.2307788848876953,0.11673016218163454,0.01981964111328125,0.0002508236245814164,20,log2,2,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9934936998854524,0.9866160417655434,0.9932869815391993,0.9946793446380392,0.004999600557113959,13
0.8435286521911621,0.07088909763304793,0.014027929306030274,0.0006034906647193622,20,log2,5,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9934936998854524,0.9866160417655434,1.0,0.9960219483301993,0.005335500047122372,9
1.2260627746582031,0.11385645906495212,0.019124412536621095,0.0010054966189406267,20,log2,5,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9868274582560297,0.9866160417655434,1.0,0.9946887000043146,0.0065053309800114124,11

